"idBank";"Dernière mise à jour";"IDBANK pour sdmx";"Autres regroupements";"Correction";"﻿Base de l'indice";"Zone géographique";"Nature";"Indicateur";"Activité";"Unité";"Puissance";"Périodicité"
"010767732";"05/03/2024 08:45";"BDM_EUR";"Sans objet";"Non corrigé";"2021";"France métropolitaine";"Indice";"Indice de la production industrielle";"15 - Industrie du cuir et de la chaussure";"sans objet";"0";"Mensuelle"
""
"Codes"
""
"Q";"Couvert par le secret statistique"
"E";"Estimation"
"F";"Prévision"
"P";"Provisoire"
"SD";"Valeur semi-définitive"
"R";"Révision"
"A";"Valeur normale"
"N";"Valeur non significative"
"O";"Valeur manquante"
"U";"Valeur atypique"
